Provincia,Regione,Residenti,Superficie km²,Densità abitanti/km²,Numero Comuni
Agrigento,Sicilia,43487,3052.59,142,43
Alessandria,Piemonte,421284,3558.83,118,187
Ancona,Marche,471228,1963.22,240,47
Aosta,Valle d’Aosta,125666,3260.9,39,74
Arezzo,Toscana,342654,3233.08,106,36
Ascolit Piceno,Marche,207179,1228.27,169,33
Asti,Piemonte,214638,1510.19,142,118
Avellino,Campania,418306,2806.07,149,118
Bari,Puglia,1251994,3862.88,324,41
Barletta – Adria – Trani,Puglia,390011,1542.95,253,10
Belluno,Veneto,20295,3610.2,56,61
Benevento,Campania,277018,2080.44,133,78
Bergamo,Lombardia,1114590,2754.9,405,243
Biella,Piemonte,175585,913.28,192,74
Bologna,Emilia Romagna,1014619,3702.32,274,55
Bolzano,Trentino Alto Adige,531178,7398.38,72,116
Brescia,Lombardia,1265954,4785.62,265,205
Brindisi,Puglia,392975,1861.12,211,20
Cagliari,Sardegna,431038,1248.68,345,17
Caltanissetta,Sicilia,262458,2138.37,123,22
Campobasso,Molise,221238,2925.41,76,84
Caserta,Campania,922965,2651.35,348,104
Catania,Sicilia,1107702,3573.68,310,58
Catanzaro,Calabria,358316,2415.45,148,80
Chieti,Abruzzo,385588,2599.58,148,104
Como,Lombardia,599204,1279.04,468,148
Cosenza,Calabria,705753,6709.75,105,150
Cremona,Lombardia,358955,1770.46,203,113
Crotone,Calabria,17498,1735.68,101,27
Cuneo,Piemonte,587098,6894.94,85,247
Enna,Sicilia,164788,2574.7,64,20
Fermo,Marche,1738,862.77,201,40
Ferrara,Emilia Romagna,345691,2635.12,131,21
Firenze,Toscana,1011349,3513.69,288,41
Foggia,Puglia,622183,7007.54,89,61
Forli-Cesena,Emilia Romagna,394627,2378.4,166,30
Frosinone,Lazio,489083,3247.08,151,91
Genova,Liguria,84118,1833.79,459,67
Gorizia,Friuli Venezia Giulia,139403,467.14,298,25
Grosseto,Toscana,221629,4503.12,49,28
Imperia,Liguria,21384,1154.78,185,66
Isernia,Molise,84379,1535.24,55,52
L’Aquila,Abruzzo,299031,5047.55,59,108
La Spezia,Liguria,219556,881.35,249,32
Latina,Lazio,575254,2256.16,255,33
Lecce,Puglia,795134,2799.07,284,96
Lecco,Lombardia,33738,805.61,419,84
Livorno,Toscana,334832,1213.71,276,19
Lodi,Lombardia,230198,782.99,294,60
Lucca,Toscana,387876,1773.22,219,33
Macerata,Marche,314178,2779.34,113,55
Mantova,Lombardia,412292,2341.44,176,64
Massa-Carrara,Toscana,194878,1154.68,169,17
Matera,Basilicata,197909,3478.89,57,31
Messina,Sicilia,626876,3266.12,192,108
Milano,Lombardia,3250315,1575.65,2063,133
Modena,Emilia Romagna,705393,2688.02,262,47
Monza e Brianza,Lombardia,873935,405.41,2156,55
Napoli,Campania,3084890,1178.93,2617,92
Novara,Piemonte,369018,1340.28,275,87
Nuoro,Sardegna,20855,5638.02,37,74
Oristano,Sardegna,157707,2990.45,53,87
Padova,Veneto,937908,2144.15,437,102
Palermo,Sicilia,1252588,5009.28,250,82
Parma,Emilia Romagna,451631,3447.48,131,44
Pavia,Lombardia,545888,2968.64,184,186
Perugia,Umbria,656382,6337.15,104,59
Pesaro-Urbino,Marche,358886,2567.78,140,53
Pescara,Abruzzo,318909,1230.33,259,46
Piacenza,Emilia Romagna,287152,2585.86,111,46
Pisa,Toscana,419037,2444.72,171,37
Pistoia,Toscana,292473,964.12,303,20
Pordenone,Friuli Venezia Giulia,312533,2275.42,137,50
Potenza,Basilicata,36496,6594.44,55,100
Prato,Toscana,257716,365.72,705,7
Ragusa,Sicilia,320893,1623.89,198,12
Ravenna,Emilia Romagna,389456,1859.44,209,18
Reggio Calabria,Calabria,548009,3210.37,171,97
Reggio Emilia,Emilia Romagna,531891,2291.26,232,42
Rieti,Lazio,155503,2750.52,57,73
Rimini,Emilia Romagna,339017,864.88,392,25
Roma,Lazio,4342212,5363.28,810,121
Rovigo,Veneto,234937,1819.35,129,50
Salerno,Campania,1098513,4954.16,222,158
Sassari,Sardegna,491571,7692.09,64,92
Savona,Liguria,276064,1546.29,179,69
Siena,Toscana,267197,3820.98,70,35
Siracusa,Sicilia,399224,2124.13,188,21
Sondrio,Lombardia,181095,3195.76,57,77
Sud Sardegna,Sardegna,350725,6530.78,54,107
Taranto,Pugla,576756,2467.35,234,29
Teramo,Abruzzo,308052,1954.38,158,47
Terni,Umbria,225633,2127.18,106,33
Torino,Piemonte,2259523,6827,331,312
Trapani,Sicilia,430492,2469.62,174,24
Trento,Trentino Alto Adige,541098,6207.12,87,166
Treviso,Veneto,887806,2479.83,358,94
Trieste,Friuli Venezia Giulia,234493,212.51,1103,6
Udine,Friuli Venezia Giulia,528791,4969.3,106,134
Varese,Lombardia,890768,1198.11,743,138
Venezia,Veneto,853338,2472.91,345,44
Verbano-Cusio-Ossola,Piemonte,158349,2260.91,70,74
Vercelli,Piemonte,170911,2081.64,82,82
Verona,Veneto,926497,3096.39,299,98
Vivo Valentia,Calabria,160073,1150.64,139,50
Vicenza,Veneto,862418,2722.53,317,114
Viterbo,Lazio,31703,3615.24,88,60
