Provincia,Regione,Residenti,Superficie km²,Densità abitanti/km²,Numero Comuni,Aggiornamento
Agrigento,Sicilia,43487,3052.59,142,43,2020-04-04
Alessandria,Piemonte,421284,3558.83,118,187,2020-04-04
Ancona,Marche,471228,1963.22,240,47,2020-04-04
Aosta,Valle d’Aosta,125666,3260.9,39,74,2020-04-04
Arezzo,Toscana,342654,3233.08,106,36,2020-04-04
Ascolit Piceno,Marche,207179,1228.27,169,33,2020-04-04
Asti,Piemonte,214638,1510.19,142,118,2020-04-04
Avellino,Campania,418306,2806.07,149,118,2020-04-04
Bari,Puglia,1251994,3862.88,324,41,2020-04-04
Barletta – Adria – Trani,Puglia,390011,1542.95,253,10,2020-04-04
Belluno,Veneto,20295,3610.2,56,61,2020-04-04
Benevento,Campania,277018,2080.44,133,78,2020-04-04
Bergamo,Lombardia,1114590,2754.9,405,243,2020-04-04
Biella,Piemonte,175585,913.28,192,74,2020-04-04
Bologna,Emilia Romagna,1014619,3702.32,274,55,2020-04-04
Bolzano,Trentino Alto Adige,531178,7398.38,72,116,2020-04-04
Brescia,Lombardia,1265954,4785.62,265,205,2020-04-04
Brindisi,Puglia,392975,1861.12,211,20,2020-04-04
Cagliari,Sardegna,431038,1248.68,345,17,2020-04-04
Caltanissetta,Sicilia,262458,2138.37,123,22,2020-04-04
Campobasso,Molise,221238,2925.41,76,84,2020-04-04
Caserta,Campania,922965,2651.35,348,104,2020-04-04
Catania,Sicilia,1107702,3573.68,310,58,2020-04-04
Catanzaro,Calabria,358316,2415.45,148,80,2020-04-04
Chieti,Abruzzo,385588,2599.58,148,104,2020-04-04
Como,Lombardia,599204,1279.04,468,148,2020-04-04
Cosenza,Calabria,705753,6709.75,105,150,2020-04-04
Cremona,Lombardia,358955,1770.46,203,113,2020-04-04
Crotone,Calabria,17498,1735.68,101,27,2020-04-04
Cuneo,Piemonte,587098,6894.94,85,247,2020-04-04
Enna,Sicilia,164788,2574.7,64,20,2020-04-04
Fermo,Marche,1738,862.77,201,40,2020-04-04
Ferrara,Emilia Romagna,345691,2635.12,131,21,2020-04-04
Firenze,Toscana,1011349,3513.69,288,41,2020-04-04
Foggia,Puglia,622183,7007.54,89,61,2020-04-04
Forli-Cesena,Emilia Romagna,394627,2378.4,166,30,2020-04-04
Frosinone,Lazio,489083,3247.08,151,91,2020-04-04
Genova,Liguria,84118,1833.79,459,67,2020-04-04
Gorizia,Friuli Venezia Giulia,139403,467.14,298,25,2020-04-04
Grosseto,Toscana,221629,4503.12,49,28,2020-04-04
Imperia,Liguria,21384,1154.78,185,66,2020-04-04
Isernia,Molise,84379,1535.24,55,52,2020-04-04
L’Aquila,Abruzzo,299031,5047.55,59,108,2020-04-04
La Spezia,Liguria,219556,881.35,249,32,2020-04-04
Latina,Lazio,575254,2256.16,255,33,2020-04-04
Lecce,Puglia,795134,2799.07,284,96,2020-04-04
Lecco,Lombardia,33738,805.61,419,84,2020-04-04
Livorno,Toscana,334832,1213.71,276,19,2020-04-04
Lodi,Lombardia,230198,782.99,294,60,2020-04-04
Lucca,Toscana,387876,1773.22,219,33,2020-04-04
Macerata,Marche,314178,2779.34,113,55,2020-04-04
Mantova,Lombardia,412292,2341.44,176,64,2020-04-04
Massa-Carrara,Toscana,194878,1154.68,169,17,2020-04-04
Matera,Basilicata,197909,3478.89,57,31,2020-04-04
Messina,Sicilia,626876,3266.12,192,108,2020-04-04
Milano,Lombardia,3250315,1575.65,2063,133,2020-04-04
Modena,Emilia Romagna,705393,2688.02,262,47,2020-04-04
Monza e Brianza,Lombardia,873935,405.41,2156,55,2020-04-04
Napoli,Campania,3084890,1178.93,2617,92,2020-04-04
Novara,Piemonte,369018,1340.28,275,87,2020-04-04
Nuoro,Sardegna,20855,5638.02,37,74,2020-04-04
Oristano,Sardegna,157707,2990.45,53,87,2020-04-04
Padova,Veneto,937908,2144.15,437,102,2020-04-04
Palermo,Sicilia,1252588,5009.28,250,82,2020-04-04
Parma,Emilia Romagna,451631,3447.48,131,44,2020-04-04
Pavia,Lombardia,545888,2968.64,184,186,2020-04-04
Perugia,Umbria,656382,6337.15,104,59,2020-04-04
Pesaro-Urbino,Marche,358886,2567.78,140,53,2020-04-04
Pescara,Abruzzo,318909,1230.33,259,46,2020-04-04
Piacenza,Emilia Romagna,287152,2585.86,111,46,2020-04-04
Pisa,Toscana,419037,2444.72,171,37,2020-04-04
Pistoia,Toscana,292473,964.12,303,20,2020-04-04
Pordenone,Friuli Venezia Giulia,312533,2275.42,137,50,2020-04-04
Potenza,Basilicata,36496,6594.44,55,100,2020-04-04
Prato,Toscana,257716,365.72,705,7,2020-04-04
Ragusa,Sicilia,320893,1623.89,198,12,2020-04-04
Ravenna,Emilia Romagna,389456,1859.44,209,18,2020-04-04
Reggio Calabria,Calabria,548009,3210.37,171,97,2020-04-04
Reggio Emilia,Emilia Romagna,531891,2291.26,232,42,2020-04-04
Rieti,Lazio,155503,2750.52,57,73,2020-04-04
Rimini,Emilia Romagna,339017,864.88,392,25,2020-04-04
Roma,Lazio,4342212,5363.28,810,121,2020-04-04
Rovigo,Veneto,234937,1819.35,129,50,2020-04-04
Salerno,Campania,1098513,4954.16,222,158,2020-04-04
Sassari,Sardegna,491571,7692.09,64,92,2020-04-04
Savona,Liguria,276064,1546.29,179,69,2020-04-04
Siena,Toscana,267197,3820.98,70,35,2020-04-04
Siracusa,Sicilia,399224,2124.13,188,21,2020-04-04
Sondrio,Lombardia,181095,3195.76,57,77,2020-04-04
Sud Sardegna,Sardegna,350725,6530.78,54,107,2020-04-04
Taranto,Pugla,576756,2467.35,234,29,2020-04-04
Teramo,Abruzzo,308052,1954.38,158,47,2020-04-04
Terni,Umbria,225633,2127.18,106,33,2020-04-04
Torino,Piemonte,2259523,6827,331,312,2020-04-04
Trapani,Sicilia,430492,2469.62,174,24,2020-04-04
Trento,Trentino Alto Adige,541098,6207.12,87,166,2020-04-04
Treviso,Veneto,887806,2479.83,358,94,2020-04-04
Trieste,Friuli Venezia Giulia,234493,212.51,1103,6,2020-04-04
Udine,Friuli Venezia Giulia,528791,4969.3,106,134,2020-04-04
Varese,Lombardia,890768,1198.11,743,138,2020-04-04
Venezia,Veneto,853338,2472.91,345,44,2020-04-04
Verbano-Cusio-Ossola,Piemonte,158349,2260.91,70,74,2020-04-04
Vercelli,Piemonte,170911,2081.64,82,82,2020-04-04
Verona,Veneto,926497,3096.39,299,98,2020-04-04
Vivo Valentia,Calabria,160073,1150.64,139,50,2020-04-04
Vicenza,Veneto,862418,2722.53,317,114,2020-04-04
Viterbo,Lazio,31703,3615.24,88,60,2020-04-04
