Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop
USA,240529,25526,5810,708,10365,224354,5421,727,18
Italy,115242,4668,13915,760,18278,83049,4053,1906,230
Spain,112065,7947,10348,961,26743,74974,6092,2397,221
Germany,84788,6807,1107,176,22440,61241,3936,1012,13
France,59105,2116,5387,1355,12428,41290,6399,905,83
Iran,50468,2875,3160,124,16711,30597,3956,601,38
UK,33718,4244,2921,569,135,30662,163,497,43
Switzerland,18827,1059,536,48,4013,14278,348,2175,62
Turkey,18135,2456,356,79,415,17364,1101,215,4
Belgium,15348,1384,1011,183,2495,11842,1144,1324,87
Netherlands,14697,1083,1339,166,250,13108,1053,858,78
Canada,11131,1400,161,47,1906,9064,120,295,4
Austria,11123,412,158,12,1749,9216,227,1235,18
S. Korea,9976,89,169,4,5828,3979,55,195,3
Portugal,9034,783,209,22,68,8757,230,886,20
Brazil,7910,1030,299,57,127,7484,296,37,1
Israel,6857,765,36,10,338,6483,107,792,4
Sweden,5568,621,308,69,103,5157,429,551,30
Australia,5230,182,27,4,585,4618,50,205,1
Norway,5144,267,50,6,32,5062,96,949,9
Ireland,3849,402,98,13,5,3746,109,779,20
Czechia,3805,216,44,5,67,3694,72,355,4
Russia,3548,771,30,6,235,3283,8,24,0.2
Chile,3404,373,18,2,335,3051,31,178,0.9
Denmark,3386,279,123,19,1089,2174,153,585,21
Ecuador,3163,405,120,22,65,2978,100,179,7
Malaysia,3116,208,50,5,767,2299,105,96,2
Poland,2946,392,57,14,56,2833,50,78,2
Romania,2738,278,115,23,267,2356,78,142,6
Philippines,2633,322,107,11,51,2475,1,24,1.0
India,2543,545,72,14,191,2280,,2,0.05
Luxembourg,2487,168,30,1,80,2377,31,3973,48
Pakistan,2421,303,34,7,125,2262,9,11,0.2
Japan,2384,,57,,472,1855,69,19,0.5
Saudi Arabia,1885,165,21,5,328,1536,31,54,0.6
Thailand,1875,104,15,3,505,1355,23,27,0.2
Indonesia,1790,113,170,13,112,1508,,7,0.6
Greece,1544,129,53,2,61,1430,91,148,5
Finland,1518,72,19,2,300,1199,65,274,3
South Africa,1462,82,5,,50,1407,7,25,0.08
Peru,1414,91,55,17,537,822,51,43,2
Dominican Republic,1380,96,60,3,16,1304,147,127,6
Mexico,1378,163,37,8,35,1306,1,11,0.3
Iceland,1319,99,4,2,284,1031,12,3865,12
Panama,1317,,32,,9,1276,50,305,7
Serbia,1171,111,31,3,42,1098,81,134,4
Colombia,1161,96,19,2,55,1087,50,23,0.4
Argentina,1133,,34,2,256,843,,25,0.8
Singapore,1049,49,4,1,266,779,24,179,0.7
UAE,1024,210,8,,96,920,2,104,0.8
Croatia,1011,48,7,1,88,916,34,246,2
Algeria,986,139,86,28,61,839,,22,2
Qatar,949,114,3,1,72,874,37,329,1
Ukraine,897,103,22,2,19,856,,21,0.5
Slovenia,897,56,17,2,70,810,31,431,8
Egypt,865,86,58,6,201,606,,8,0.6
Estonia,858,79,11,6,45,802,16,647,8
Hong Kong,802,36,4,,154,644,8,107,0.5
New Zealand,797,89,1,,92,704,2,165,0.2
Iraq,772,44,54,2,202,516,,19,1
Diamond Princess,712,,11,,619,82,15,,
Morocco,708,54,44,5,31,633,1,19,1
Armenia,663,92,7,3,33,623,30,224,2
Lithuania,649,68,9,1,7,633,11,238,3
Bahrain,643,74,4,,381,258,3,378,2
Hungary,585,60,21,1,42,522,17,61,2
Bosnia and Herzegovina,533,74,16,3,20,497,4,162,5
Moldova,505,82,6,1,23,476,65,125,1
Lebanon,494,15,16,2,46,432,3,72,2
Latvia,458,12,,,31,427,3,243,
Bulgaria,457,35,10,,25,422,18,66,1
Tunisia,455,32,14,2,5,436,10,38,1
Kazakhstan,435,55,3,,27,405,6,23,0.2
Andorra,428,38,15,1,10,403,12,5539,194
Slovakia,426,26,1,,5,420,3,78,0.2
Azerbaijan,400,41,5,,26,369,7,39,0.5
Costa Rica,396,21,2,,6,388,11,78,0.4
North Macedonia,384,30,11,,17,356,4,184,5
Cyprus,356,36,10,1,28,318,11,295,8
Uruguay,350,,4,2,62,284,15,101,1
Kuwait,342,25,,,81,261,15,80,
Taiwan,339,10,5,,50,284,,14,0.2
Runion,308,27,,,40,268,3,344,
Cameroon,306,73,7,1,10,289,,12,0.3
Belarus,304,141,4,2,53,247,11,32,0.4
Jordan,299,21,5,,45,249,5,29,0.5
Burkina Faso,288,6,16,,50,222,,14,0.8
Albania,277,18,16,1,76,185,7,96,6
Afghanistan,273,36,6,2,10,257,,7,0.2
San Marino,245,9,30,2,21,194,15,7221,884
Cuba,233,21,6,,13,214,7,21,0.5
Oman,231,21,1,,57,173,3,45,0.2
Vietnam,227,9,,,75,152,3,2,
Honduras,219,47,14,4,3,202,4,22,1
Uzbekistan,205,24,2,,25,178,8,6,0.06
Ghana,204,9,5,,31,168,2,7,0.2
Malta,196,8,,,2,194,2,444,
Senegal,195,5,1,,55,139,,12,0.06
Ivory Coast,194,4,1,,15,178,,7,0.04
Channel Islands,193,21,3,,,190,,1110,17
Nigeria,184,10,2,,20,162,,0.9,0.01
Faeroe Islands,177,4,,,81,96,1,3622,
Mauritius,169,8,7,1,,162,1,133,6
Palestine,161,27,1,,18,142,,32,0.2
Sri Lanka,151,5,4,1,21,126,5,7,0.2
Venezuela,144,,3,,43,98,6,5,0.1
Montenegro,144,21,2,,,142,4,229,3
Martinique,138,3,3,,27,108,19,368,8
Georgia,134,17,,,26,108,6,34,
Brunei,133,2,1,,56,76,3,304,2
Guadeloupe,128,3,6,,24,98,14,320,15
DRC,123,14,11,2,3,109,,1,0.1
Bolivia,123,8,8,1,1,114,3,11,0.7
Mayotte,116,15,1,,10,105,3,425,4
Kyrgyzstan,116,5,,,5,111,5,18,
Kenya,110,29,3,2,4,103,2,2,0.06
Cambodia,110,1,,,34,76,1,7,
Niger,98,24,5,,,93,,4,0.2
Isle of Man,95,27,1,,,94,,1117,12
Trinidad and Tobago,94,4,5,,1,88,,67,4
Gibraltar,88,7,,,46,42,,2612,
Rwanda,84,2,,,,84,,6,
Paraguay,77,8,3,,2,72,4,11,0.4
Liechtenstein,75,3,,,,75,,1967,
Monaco,60,5,1,,2,57,2,1529,25
Aruba,60,5,,,1,59,,562,
Madagascar,59,2,,,,59,6,2,
Bangladesh,56,2,6,,25,25,1,0.3,0.04
Guinea,52,22,,,,52,,4,
French Guiana,51,,,,15,36,,171,
Jamaica,47,3,3,,2,42,,16,1
Guatemala,47,8,1,,12,34,1,3,0.06
Barbados,46,1,,,,46,,160,
Uganda,45,1,,,,45,,1.0,
El Salvador,41,8,2,,,39,4,6,0.3
Macao,41,,,,10,31,,63,
Djibouti,40,7,,,,40,,40,
Togo,39,3,2,,17,20,,5,0.2
Zambia,39,3,1,1,,38,,2,0.05
French Polynesia,37,,,,,37,1,132,
Mali,36,5,3,,,33,,2,0.1
Bermuda,35,3,,,11,24,,562,
Ethiopia,29,,,,3,26,2,0.3,
Congo,22,,2,,2,18,,4,0.4
Cayman Islands,22,,1,,,21,,335,15
Saint Martin,22,,1,,2,19,,569,26
Eritrea,22,7,,,,22,,6,
Bahamas,21,,1,,1,19,,53,3
Gabon,21,3,1,,,20,,9,0.4
Myanmar,20,4,1,,,19,,0.4,0.02
Tanzania,20,,1,,2,17,,0.3,0.02
Guyana,19,,4,1,,15,,24,5
Maldives,19,,,,13,6,,35,
Sint Maarten,18,2,1,,6,11,,420,23
New Caledonia,18,2,,,1,17,,63,
Syria,16,6,2,,,14,,0.9,0.1
Haiti,16,,,,1,15,,1,
Equatorial Guinea,15,,,,1,14,,11,
Mongolia,14,,,,2,12,,4,
Namibia,14,,,,3,11,,6,
Benin,13,,,,1,12,,1,
Saint Lucia,13,,,,1,12,,71,
Dominica,12,,,,,12,,167,
Curaao,11,,1,,3,7,,67,6
Libya,11,1,1,1,,10,,2,0.1
Greenland,10,,,,2,8,,176,
Grenada,10,1,,,,10,,89,
Laos,10,,,,,10,,1,
Mozambique,10,,,,,10,,0.3,
Seychelles,10,,,,,10,,102,
Suriname,10,,,,,10,,17,
MS Zaandam,9,,2,,,7,,,
Zimbabwe,9,1,1,,,8,,0.6,0.07
Antigua and Barbuda,9,2,,,,9,,92,
Guinea-Bissau,9,,,,,9,,5,
Eswatini,9,,,,,9,,8,
Angola,8,,2,,1,5,,0.2,0.06
Sudan,8,1,2,,2,4,,0.2,0.05
Chad,8,1,,,,8,,0.5,
Saint Kitts and Nevis,8,,,,,8,,150,
Fiji,7,2,,,,7,,8,
Vatican City,7,1,,,,7,,8739,
Cabo Verde,6,,1,,,5,,11,2
Mauritania,6,,1,,2,3,,1,0.2
Nepal,6,1,,,1,5,,0.2,
Liberia,6,,,,,6,,1,
St. Barth,6,,,,1,5,,607,
Nicaragua,5,,1,,,4,,0.8,0.2
Bhutan,5,1,,,1,4,,6,
Montserrat,5,,,,,5,,1002,
Somalia,5,,,,1,4,,0.3,
Turks and Caicos,5,,,,,5,,129,
Botswana,4,,1,,,3,,2,0.4
Gambia,4,,1,,2,1,,2,0.4
Anguilla,3,1,,,,3,,200,
Belize,3,,,,,3,,8,
British Virgin Islands,3,,,,,3,,99,
Burundi,3,1,,,,3,,0.3,
CAR,3,,,,,3,,0.6,
Malawi,3,3,,,,3,,0.2,
Caribbean Netherlands,2,,,,,2,,76,
St. Vincent Grenadines,2,,,,1,1,,18,
Sierra Leone,2,,,,,2,,0.3,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81589,35,3318,6,76408,1863,429,57,2
